Unnamed: 0,cursor_vis,endpoint_vis,clamp,rot,trial,cycle_phase,target_angle,instruct_phase,instruct_state,Endpoint_Theta,movement_time,movement_initiation_time,difference
0,1,1,1,29.28901396,181,61,135,,1,133.9014956,0.1320047,0.3352074,1.098504399999996
0,1,1,1,30.75593805,182,62,135,,1,129.5105947,0.1489938,0.4001581,5.489405299999987
0,1,1,1,30.67214025,183,63,135,,1,130.2034657,0.1490165,0.4181598,4.7965342999999905
0,1,1,1,29.46411075,184,64,135,,1,136.2031018,0.100021,0.4822263,1.203101800000013
0,1,1,1,29.38476009,185,65,135,,1,140.6323112,0.1179931,0.6671547,5.632311200000004
0,1,1,1,29.90787493,186,66,135,,1,133.7769866,0.1669584,0.3831983,1.2230134000000135
0,1,1,1,30.94650713,187,67,135,,1,134.8004895,0.1170435,0.4501565,0.19951050000000237
0,1,1,1,30.04351,188,68,135,,1,134.3278382,0.1509818,0.3332173,0.6721617999999978
0,1,1,1,30.7960177,189,69,135,,1,133.70906,0.1320363,0.3511398,1.2909400000000062
0,1,1,1,29.81066049,190,70,135,,1,137.864676,0.150024,0.2841867,2.864676000000003
0,1,1,1,30.28244388,191,71,135,,1,137.8085733,0.134052,0.2841676,2.808573300000006
0,1,1,1,27.02026771,192,72,135,,1,138.2275615,0.131965,0.4001906,3.2275615000000073
0,1,1,1,29.69014758,193,73,135,,1,130.5406653,0.0999383,0.5162363,4.459334699999999
0,1,1,1,29.5109644,194,74,135,,1,132.8125351,0.1338698,0.3332814,2.187464900000009
0,1,1,1,29.34839577,195,75,135,,1,134.0729937,0.1150208,0.3671288,0.927006299999988
0,1,1,1,30.31118486,197,77,135,,1,137.4290291,0.1160137,0.482173,2.429029100000008
0,1,1,1,31.21467322,198,78,135,,1,137.017082,0.1168852,0.3662911,2.017081999999988
0,1,1,1,29.91347709,200,80,135,,1,135.1763387,0.1179905,0.4001729,0.1763387000000023
0,1,1,1,28.81739695,201,81,135,,1,134.4243219,0.1180216,0.3670865,0.5756781000000046
0,1,1,1,29.11925264,202,82,135,,1,133.2676711,0.1330495,0.3501458,1.7323288999999988
0,1,1,1,28.49506965,203,83,135,,1,132.8944687,0.1348889,0.3832845,2.1055312999999956
0,1,1,1,30.41903826,204,84,135,,1,136.8291716,0.1339932,0.2991638,1.8291715999999951
0,1,1,1,30.9074509,205,85,135,,1,139.6109693,0.1340401,0.4141962,4.610969299999994
0,1,1,1,28.4483017,206,86,135,,1,134.4231049,0.1339096,0.5332862,0.5768951000000015
0,1,1,1,30.55373047,207,87,135,,1,134.552391,0.151922,0.3162773,0.4476089999999999
0,1,1,1,30.19449969,208,88,135,,1,132.7967592,0.1839416,0.2332416,2.203240800000003
0,1,1,1,31.09032407,209,89,135,,1,130.6514354,0.1160411,0.351114,4.348564600000003
0,1,1,1,29.30832225,210,90,135,,1,136.1415562,0.1149334,0.3352819,1.1415561999999966
0,1,1,1,29.55219193,211,91,135,,1,137.5385954,0.1329455,0.5162541,2.5385953999999913
0,1,1,1,29.95600436,212,92,135,,1,132.2840424,0.1329633,0.4322375,2.715957599999996
0,1,1,1,29.20183523,213,93,135,,1,134.0662556,0.1168866,0.4162952,0.9337443999999948
0,1,1,1,30.58888272,214,94,135,,1,130.4680439,0.1500371,0.3501416,4.531956100000002
0,1,1,1,28.03510628,215,95,135,,1,130.3754895,0.1510126,0.3331024,4.624510500000014
0,1,1,1,28.68116014,216,96,135,,1,135.5454757,0.116999,0.4182,0.5454756999999972
0,1,1,1,29.25391886,217,97,135,,1,133.3586598,0.150005,0.3172292,1.641340200000002
0,1,1,1,30.57598344,218,98,135,,1,134.6036535,0.1329341,0.3502067,0.39634649999999283
0,1,1,1,30.49426607,219,99,135,,1,140.2429911,0.1331016,0.3341812,5.242991100000012
0,1,1,1,31.06353965,220,100,135,,1,141.8865098,0.134021,0.3170846,6.886509799999999
0,1,1,1,29.84111002,221,101,135,,1,134.5385097,0.132898,0.3001935,0.46149030000000835
0,1,1,1,31.80411782,222,102,135,,1,138.7091494,0.1180515,0.3501421,3.709149400000001
0,1,1,1,31.03279023,223,103,135,,1,136.9738155,0.1330591,0.3171061,1.9738155000000006
0,1,1,1,31.90028943,224,104,135,,1,140.0017116,0.1669152,0.3332948,5.001711599999993
0,1,1,1,29.95298638,225,105,135,,1,135.3457172,0.1670545,0.2331375,0.34571719999999573
0,1,1,1,31.58103702,226,106,135,,1,136.1701355,0.1170511,0.3651851,1.1701354999999865
0,1,1,1,29.06360063,227,107,135,,1,135.9138163,0.1500457,0.2341736,0.9138163000000077
0,1,1,1,29.22229459,228,108,135,,1,135.0227976,0.1489661,0.2652187,0.02279759999998987
0,1,1,1,30.82435129,229,109,135,,1,135.8857529,0.1320312,0.2840886,0.8857529
0,1,1,1,29.93568474,230,110,135,,1,141.3168692,0.1341831,0.3162175,6.3168692000000135
0,1,1,1,27.90183837,231,111,135,,1,136.5251079,0.165892,0.2831873,1.5251078999999947
0,1,1,1,30.14756022,232,112,135,,1,131.9449839,0.1500126,0.317282,3.055016099999989
0,1,1,1,30.80745457,233,113,135,,1,137.6959969,0.1499929,0.2832982,2.6959969000000115
0,1,1,1,27.99919101,234,114,135,,1,136.6532672,0.1341217,0.2151957,1.6532671999999877
0,1,1,1,27.97269223,235,115,135,,1,140.6619284,0.1169819,0.3831755,5.661928399999994
0,1,1,1,29.24179511,236,116,135,,1,129.6048527,0.1340792,0.3831144,5.395147299999991
0,1,1,1,30.36507395,237,117,135,,1,136.6600563,0.1329073,0.3001951,1.660056300000008
0,1,1,1,28.048002,238,118,135,,1,133.981047,0.1319932,0.2681884,1.0189530000000104
0,1,1,1,28.41875604,239,119,135,,1,128.0939019,0.1309433,0.2692123,6.906098100000008
0,1,1,1,30.08989314,240,120,135,,1,132.9850717,0.1169971,0.2160997,2.014928300000008
0,0,0,1,30.08455528,241,1,-90,"You will now be asked to reach to targets that you have not yet reached to.
You will not receive feedback of any kind for these reaches.Please continue to slice through the target as quickly and accurately as possible.",1,130.2555792,0.1998145,0.3342402,220.2555792
0,0,0,1,30.34245835,242,1,105,,1,111.9276056,0.1168477,0.7170993,6.927605600000007
0,1,1,1,32.51683525,243,1,135,,1,130.297041,0.1180027,0.4821955,4.702958999999993
0,0,0,1,30.52394948,244,1,-135,,1,-135.5938081,0.1318594,0.5001992,0.5938080999999897
0,1,1,1,29.38494913,245,1,135,,1,135.4032994,0.0990387,0.5171228,0.40329940000000875
0,1,1,1,30.29236964,246,1,135,,1,139.4371843,0.1150523,0.4691962,4.437184300000013
0,1,1,1,29.31351517,247,1,135,,1,129.2515642,0.11602,1.9001581,5.74843580000001
0,0,0,1,30.59994329,248,1,180,,1,174.8119196,0.1488808,0.4830457,5.18808039999999
0,1,1,1,28.52469672,249,1,135,,1,137.807331,0.1169611,0.3831933,2.807331000000005
0,1,1,1,30.4868017,250,1,135,,1,135.3825468,0.1170139,0.4831896,0.3825468000000001
0,1,1,1,29.33534236,251,1,135,,1,139.5206634,0.1169858,0.4501725,4.5206633999999895
0,0,0,1,31.3163868,252,1,0,,1,8.991025862,0.1338878,0.5001555,8.991025862
0,0,0,1,28.90808202,253,1,165,,1,160.6164535,0.0987637,0.4672469,4.383546499999994
0,0,0,1,30.0242821,254,1,45,,1,63.81474454,0.1158517,0.5501921,18.81474454
0,1,1,1,28.10247652,255,1,135,,1,133.958471,0.1149876,0.4180306,1.041528999999997
0,0,0,1,32.84106386,256,1,-45,,1,-39.54595914,0.1498183,0.4172413,5.454040859999999
0,1,1,1,30.64695243,257,1,135,,1,138.9532763,0.1329743,0.400178,3.953276299999999
0,0,0,1,28.98897262,258,1,120,,1,125.5567793,0.1338647,0.4501562,5.556779300000002
0,0,0,1,31.76759004,259,1,90,,1,102.6577875,0.1328409,0.5001844,12.657787499999998
0,1,1,1,29.77053542,260,1,135,,1,134.5815006,0.1169906,0.5001521,0.41849940000000174
0,1,1,1,30.31337362,261,1,135,,1,132.4344105,0.1340118,0.4671609,2.5655894999999873
0,0,0,1,31.04422193,262,1,150,,1,146.6202334,0.1497803,0.5172368,3.3797666000000106
0,1,1,1,31.6204519,263,1,135,,1,129.6389301,0.1339971,0.4001831,5.36106989999999
0,0,0,1,28.77376359,264,2,-135,,1,-136.2496971,0.1177925,0.4822825,1.2496970999999917
0,1,1,1,28.96860789,265,2,135,,1,134.5981608,0.1349914,0.4651308,0.40183920000001194
0,0,0,1,32.2892602,266,2,90,,1,90.37044637,0.1508295,0.4482106,0.37044636999999625
0,0,0,1,29.22176426,267,2,0,,1,16.81411405,0.1168528,0.4851499,16.81411405
0,0,0,1,28.62000872,268,2,45,,1,46.46215942,0.232894,0.3331639,1.462159419999999
0,0,0,1,31.32244323,269,2,165,,1,157.1605353,0.1338621,0.4991737,7.839464700000008
0,1,1,1,30.33088108,270,2,135,,1,127.5459964,0.1520203,0.5331298,7.454003599999993
0,0,0,1,30.55122937,271,2,180,,1,177.0182297,0.1328435,0.4511475,2.9817702999999938
0,1,1,1,30.15697665,272,2,135,,1,130.0682703,0.1170412,0.4989759,4.931729700000005
0,1,1,1,30.5857901,273,2,135,,1,126.8266276,0.1500211,0.5320333,8.173372400000005
0,1,1,1,30.29803131,274,2,135,,1,129.421494,0.1670282,0.6981819,5.578506000000004
0,1,1,1,29.70882628,275,2,135,,1,128.9054699,0.1669575,0.7481573,6.094530099999986
0,1,1,1,29.00964449,276,2,135,,1,131.5332612,0.134008,0.4661675,3.4667388000000017
0,0,0,1,31.2660969,278,2,105,,1,105.4225894,0.1168905,0.5161485,0.4225894000000068
0,1,1,1,30.67037155,279,2,135,,1,132.3869436,0.1339528,0.4171699,2.613056400000005
0,0,0,1,29.37899349,280,2,150,,1,134.8201006,0.1328579,0.5001822,15.17989940000001
0,1,1,1,30.35945621,281,2,135,,1,129.5501843,0.1331717,0.5841076,5.449815699999988
0,0,0,1,31.06685556,282,2,-45,,1,-45.12923762,0.1329037,0.5150557,0.12923761999999783
0,1,1,1,30.09951345,283,2,135,,1,129.7735602,0.1179887,0.4811796,5.2264398000000085
0,0,0,1,30.42928176,284,2,120,,1,111.8173965,0.1348275,0.4480392,8.182603499999999
0,1,1,1,29.09220458,285,2,135,,1,134.8239149,0.1660068,0.4341874,0.17608509999999455
0,0,0,1,31.70257319,286,2,-90,,1,-88.80616839,0.1328722,0.4842837,1.1938316100000037
0,0,0,1,28.80489942,287,3,180,,1,172.2952802,0.1338464,0.4661503,7.704719799999992
0,0,0,1,29.82118397,288,3,0,,1,5.389049189,0.1158832,0.4671455,5.389049189
0,1,1,1,31.43864121,289,3,135,,1,131.4412478,0.1499937,0.4831934,3.5587521999999865
0,0,0,1,29.81788855,290,3,-45,,1,-38.29740471,0.149838,0.4841763,6.702595289999998
0,0,0,1,30.62500835,291,3,150,,1,147.6284125,0.1178412,0.4672055,2.371587500000004
0,1,1,1,29.06892876,292,3,135,,1,129.9723198,0.1490201,0.4171738,5.027680199999992
0,1,1,1,28.73250621,293,3,135,,1,132.6176743,0.1660219,0.3832191,2.3823256999999955
0,1,1,1,29.64032763,294,3,135,,1,131.0944692,0.1159909,0.4671577,3.905530800000008
0,0,0,1,30.74684284,295,3,120,,1,121.2442622,0.1158725,0.4321581,1.2442621999999943
0,1,1,1,29.53097667,296,3,135,,1,132.714491,0.1670483,0.5501644,2.2855089999999905
0,0,0,1,29.12477821,297,3,45,,1,57.93054746,0.1158611,0.467192,12.93054746
0,0,0,1,30.29951631,298,3,90,,1,89.60117529,0.1169333,0.4501937,0.3988247099999995
0,0,0,1,29.30829794,299,3,-135,,1,-134.6946995,0.133929,0.5161121,0.3053004999999871
0,1,1,1,29.02800647,300,3,135,,1,135.8080689,0.1330343,0.4671701,0.808068899999995
0,1,1,1,29.3422306,301,3,135,,1,138.4238871,0.1329587,0.4341857,3.4238871000000017
0,1,1,1,28.90772888,302,3,135,,1,137.1012845,0.1170028,0.4671707,2.1012844999999913
0,0,0,1,30.13166831,303,3,105,,1,112.6200868,0.1338836,0.448156,7.620086799999996
0,1,1,1,29.9005189,304,3,135,,1,133.0415489,0.1320051,0.5001899,1.9584510999999907
0,0,0,1,29.75966692,305,3,165,,1,159.419641,0.1498496,0.4329893,5.580358999999987
0,1,1,1,28.2475289,306,3,135,,1,135.2452151,0.1499558,0.4172414,0.2452150999999958
0,1,1,1,29.71715727,307,3,135,,1,133.1767003,0.1680424,0.4001801,1.8232997000000069
0,1,1,1,27.86345529,308,3,135,,1,129.9120904,0.1490191,0.4342219,5.087909599999989
0,0,0,1,29.41517676,309,3,-90,,1,-85.99416428,0.1168394,0.5491304,4.005835719999993
0,0,0,1,29.94568617,310,4,150,,1,139.8981322,0.1328065,0.550167,10.101867800000008
0,0,0,1,29.98782884,311,4,105,,1,109.0905219,0.1157917,0.5512112,4.090521899999999
0,0,0,1,29.94917321,312,4,-135,,1,-140.9466338,0.1178841,0.6661263,5.946633800000001
0,1,1,1,30.37423866,313,4,135,,1,133.5701237,0.1509549,0.3502402,1.4298762999999894
0,1,1,1,28.89170355,314,4,135,,1,130.0499029,0.1319787,0.368162,4.950097099999994
0,1,1,1,30.09281931,315,4,135,,1,137.0842092,0.1329921,0.5152194,2.0842092000000036
0,1,1,1,30.15990064,316,4,135,,1,134.0770181,0.1669847,0.4171686,0.9229818999999964
0,1,1,1,30.47526675,317,4,135,,1,131.1599261,0.1510165,0.4831349,3.840073899999993
0,0,0,1,29.24212873,318,4,180,,1,168.7908202,0.1668441,0.8832765,11.209179799999987
0,0,0,1,29.61830293,319,4,165,,1,161.5831425,0.1669018,0.567179,3.416857499999992
0,1,1,1,31.22228309,320,4,135,,1,129.4393481,0.1329951,0.5991463,5.5606519000000105
0,0,0,1,29.40895318,321,4,-90,,1,-88.68231748,0.1008811,0.5321472,1.3176825200000053
0,0,0,1,29.50101433,322,4,90,,1,91.81507951,0.1328556,0.4502106,1.815079510000004
0,0,0,1,30.2188796,323,4,120,,1,113.2819926,0.1167991,0.4332253,6.718007400000005
0,1,1,1,29.94331882,324,4,135,,1,132.2737155,0.1679655,0.4172163,2.7262844999999913
0,1,1,1,28.68883489,325,4,135,,1,134.1430495,0.1330097,0.4001648,0.8569505000000106
0,0,0,1,28.74701603,326,4,45,,1,58.55593964,0.1148342,0.5001959,13.555939639999998
0,1,1,1,31.22411757,327,4,135,,1,122.8345106,0.1500432,0.4501833,12.165489399999998
0,1,1,1,29.53560183,328,4,135,,1,133.1641328,0.1150572,0.4521461,1.8358671999999956
0,0,0,1,29.35229601,329,4,-45,,1,-46.01482694,0.1669054,0.5161959,1.014826939999999
0,1,1,1,30.94300027,330,4,135,,1,132.3270036,0.1340639,0.4492197,2.672996399999988
0,0,0,1,30.61949244,331,4,0,,1,10.17900943,0.1168333,0.5832004,10.17900943
0,1,1,1,31.13663577,332,4,135,,1,129.4467413,0.1509766,0.4651709,5.5532586999999864
0,1,1,1,32.56137516,333,5,135,,1,128.1112388,0.1649956,0.452167,6.888761200000005
0,1,1,1,29.01085589,334,5,135,,1,130.9781844,0.1330149,0.4001334,4.0218155999999965
0,0,0,1,32.13964751,335,5,0,,1,18.55404337,0.1338344,0.4661565,18.55404337
0,1,1,1,29.21386705,336,5,135,,1,134.095892,0.1339524,0.4341922,0.9041080000000079
0,1,1,1,30.73960915,337,5,135,,1,130.3013791,0.1309978,0.4181995,4.698620900000009
0,1,1,1,28.30255107,338,5,135,,1,134.7199331,0.1330312,0.4501914,0.28006690000000845
0,1,1,1,30.17482154,339,5,135,,1,130.9860057,0.1479623,0.3522453,4.013994300000007
0,0,0,1,29.7348406,340,5,105,,1,107.0882661,0.115849,0.6501646,2.0882660999999985
0,1,1,1,28.49291665,341,5,135,,1,133.8649821,0.1330555,0.4991425,1.1350179000000082
0,0,0,1,30.76392947,342,5,120,,1,119.0968964,0.1477371,0.4003372,0.9031035999999943
0,0,0,1,31.27813545,343,5,150,,1,147.6193933,0.1677367,0.5662901,2.380606699999987
0,0,0,1,30.61913829,344,5,90,,1,95.48583835,0.1478613,0.4341664,5.4858383499999945
0,0,0,1,29.73238657,345,5,45,,1,57.09835797,0.1157792,0.4341952,12.098357970000002
0,0,0,1,31.7214903,346,5,180,,1,175.9384447,0.1508391,0.5342104,4.061555300000009
0,1,1,1,29.11324182,347,5,135,,1,131.3952528,0.1170037,0.4831552,3.6047471999999914
0,1,1,1,29.61899782,348,5,135,,1,128.623295,0.1650198,0.5681408,6.376704999999987
0,1,1,1,29.8470893,349,5,135,,1,132.3537821,0.1180421,0.7171405,2.6462179000000106
0,0,0,1,29.85219683,350,5,165,,1,155.4100825,0.1508122,0.6322459,9.589917500000013
0,0,0,1,29.30961994,351,5,-45,,1,-37.00394783,0.1338869,0.5171486,7.996052169999999
0,0,0,1,29.50762706,352,5,-135,,1,-132.2101714,0.1168789,0.5670925,2.7898285999999928
0,0,0,1,29.40889127,353,5,-90,,1,-87.57858476,0.1328717,0.5161642,2.4214152400000017
0,1,1,1,29.04115252,354,5,135,,1,128.0192993,0.1339832,0.4661783,6.9807007
0,1,1,1,30.81528983,355,5,135,,1,128.3011986,0.1159801,0.4502223,6.698801400000008
0,0,0,1,31.35586592,356,6,165,,1,159.9079079,0.1168095,0.5150418,5.092092100000002
0,1,1,1,31.42651795,357,6,135,,1,127.4966721,0.1169936,0.465194,7.503327900000002
0,1,1,1,30.19376175,358,6,135,,1,133.1086973,0.1169818,0.6172052,1.8913027000000113
0,1,1,1,28.6173923,359,6,135,,1,126.6399482,0.117016,0.5331878,8.360051799999994
0,0,0,1,29.69578744,360,6,-45,,1,-42.19610579,0.1328766,0.5671537,2.803894210000003
0,1,1,1,28.79922972,361,6,135,,1,129.4988601,0.115963,0.5181466,5.501139899999998
0,0,0,1,30.86878475,362,6,90,,1,92.27142677,0.1328885,0.4481369,2.271426770000005
0,1,1,1,27.4704596,363,6,135,,1,129.5924592,0.2660347,0.3501722,5.4075407999999925
