Unnamed: 0,cursor_vis,midpoint_vis,endpoint_vis,cursor_sig,cursor_mp_sig,cursor_ep_sig,clamp,rot,trial,cycle,target_angle,no_uncertainty,low_uncertainty,high_uncertainty,unlimited_uncertainty,endpoint_theta,movement_time,movement_initiation_time,previous_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,21.220513613689853,24,23,90,0.0,0.0,0.0,1.0,64.85521436932105,0.2828018000000156,0.5692884000000049,high_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.331653810933915,25,24,90,1.0,0.0,0.0,0.0,64.85521436932105,0.2828311999999187,0.4502121999998962,unlimited_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.897554711339415,26,25,90,0.0,1.0,0.0,0.0,64.85521436932105,0.2837350999998307,0.4662284999999428,no_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.178185922202406,27,26,90,0.0,1.0,0.0,0.0,64.85521436932105,0.2998629000001074,0.8172082000000955,low_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.762346304935686,28,27,90,1.0,0.0,0.0,0.0,64.85521436932105,0.2828944000000319,0.433209799999986,low_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0983107117480975,29,28,90,0.0,0.0,1.0,0.0,64.85521436932105,0.3188096999999743,0.5492160999999669,no_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.62261031520079,30,29,90,0.0,0.0,1.0,0.0,64.85521436932105,0.2998055000000477,0.4842430000001059,high_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.194619793474184,31,30,90,0.0,0.0,1.0,0.0,64.85521436932105,0.2827604000001429,0.6001842999999099,high_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.150214451341697,32,31,90,0.0,0.0,1.0,0.0,64.85521436932105,0.298819500000036,0.3842399999998633,high_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.445835568856555,33,32,90,1.0,0.0,0.0,0.0,64.85521436932105,0.3328331000000162,0.6831712000000607,high_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.66712560771612,34,33,90,0.0,0.0,1.0,0.0,64.85521436932105,0.2848860000001423,1.0502142000000276,no_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,17.141666666601314,35,34,90,1.0,0.0,0.0,0.0,64.85521436932105,0.3168315999998867,0.4342249000001175,high_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.799867282573716,36,35,90,0.0,0.0,1.0,0.0,64.85521436932105,0.2498466999998072,0.5502309000000878,no_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.59424398016849,37,36,90,1.0,0.0,0.0,0.0,64.85521436932105,0.267855599999848,0.4828658000001269,high_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.858651285067593,38,37,90,0.0,0.0,1.0,0.0,64.85521436932105,0.2167680000000018,0.4332871000001432,no_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.990811999340176,39,38,90,1.0,0.0,0.0,0.0,64.85521436932105,0.2839459000001625,0.4161141000001862,high_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.75091580303924,40,39,90,0.0,0.0,1.0,0.0,64.85521436932105,0.2808585000000221,0.4171711000001323,no_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.647772147483641,41,40,90,0.0,0.0,0.0,1.0,64.85521436932105,0.2668177999998988,0.4142311999999037,high_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.714629310567672,42,41,90,1.0,0.0,0.0,0.0,64.85521436932105,0.2818056000000979,0.7342671999999766,unlimited_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.950746469829213,43,42,90,0.0,1.0,0.0,0.0,64.85521436932105,0.2667882999999165,0.4332296999998561,no_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,15.449207610375664,44,43,90,0.0,0.0,0.0,1.0,64.85521436932105,0.3347856999998839,0.4482762000000093,low_uncertainty
