,cursor_vis,midpoint_vis,endpoint_vis,cursor_sig,cursor_mp_sig,cursor_ep_sig,clamp,rot,trial,cycle,target_angle,instruct_phase,instruct_state,endpoint_theta,movement_time,movement_initiation_time
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.47985694115505,13,2,60,,1.0,60.45481943032436,0.11700589999963995,0.38315980000152194
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.126573654566688,14,2,75,,1.0,74.9832453446797,0.13394359999983863,0.33117010000023583
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.753271012156844,15,2,135,,1.0,139.24009804232057,0.1819126000009419,0.31821280000076513
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.88257256350173,16,2,315,,1.0,-37.81771535071205,0.15097479999894858,0.4331779000003735
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5757286022150443,17,2,120,,1.0,122.51801735828658,0.16697709999971266,0.38320419999945443
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.534374833365745,18,2,180,,1.0,179.4831887930914,0.13298740000027465,0.31613969999853
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.322943419108688,19,2,225,,1.0,-134.79663595242036,0.11697920000005979,0.2831415000000561
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.741867085213691,20,2,90,,1.0,88.43989807494498,0.13309839999965334,0.4321595999990677
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3746323601947923,21,2,270,,1.0,-82.01489712468191,0.1340185000008205,0.38315610000063316
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.738396630154384,22,2,105,,1.0,114.08954800285296,0.16697500000009313,0.31616420000136713
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.795691196874811,23,2,45,,1.0,43.877791481722674,0.13486449999982142,0.31624989999909303
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.213504619549427,24,2,0,,1.0,8.20468982279137,0.16605639999943378,0.36717749999843363
0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,12.635070899504338,25,1,90,"You will now only see the cursor throughout your entire reach.
Please continue to slice through the target as quickly and accurately as possible.",1.0,96.09159544505707,0.16709170000103768,0.33317340000030526
0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.832190784893532,26,1,0,,1.0,4.757483488721195,0.1481404999994993,0.3351548999999068
0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.6098998867690576,27,1,180,,1.0,-175.15336585086885,0.13316909999957716,0.26622450000104436
