,trial,state,sample,time,x,y
18,2,move,732,6.228802541969344,1.7578125,11.19140625
19,2,move,733,6.23219445894938,1.7578125,11.19140625
20,2,move,734,6.245398208964616,1.7578125,11.19140625
21,2,move,735,6.2492361249169335,1.7578125,11.19140625
22,2,move,736,6.262082124943845,1.7578125,11.19140625
23,2,move,737,6.265420791925862,1.7578125,11.19140625
24,2,move,738,6.278771833982319,1.7578125,11.19140625
25,2,move,739,6.282322583952919,1.7578125,11.19140625
26,2,move,740,6.2953803749987856,1.7578125,11.19140625
27,2,move,741,6.298654833924957,1.7578125,11.19140625
28,2,move,742,6.31193754193373,1.7578125,11.19140625
29,2,move,743,6.315404583932832,1.7578125,11.19140625
30,2,move,744,6.328649083967321,1.7578125,11.19140625
31,2,move,745,6.331874124938622,1.7578125,11.19140625
32,2,move,746,6.34534875000827,1.7578125,11.19140625
33,2,move,747,6.348459834000096,1.7578125,11.19140625
34,2,move,748,6.361904749996029,1.7578125,11.19140625
35,2,move,749,6.364979916950688,1.7578125,11.19140625
36,2,move,750,6.379385874955915,1.7578125,11.19140625
37,2,move,751,6.384011166985147,1.7578125,11.19140625
38,2,move,752,6.395367374992929,1.7578125,11.19140625
39,2,move,753,6.398765333928168,1.7578125,11.19140625
40,2,move,754,6.411990416934714,1.7578125,11.19140625
41,2,move,755,6.415323958965018,1.7578125,11.19140625
42,2,move,756,6.428733584005386,1.7578125,11.19140625
43,2,move,757,6.432205541990697,1.7578125,11.19140625
44,2,move,758,6.4447747089434415,1.7578125,11.19140625
45,2,move,759,6.448100209003314,1.7578125,11.19140625
46,2,move,760,6.462070916895755,1.7578125,11.19140625
47,2,move,761,6.465358458925039,1.7578125,11.19140625
48,2,move,762,6.478997333906591,1.7578125,11.19140625
49,2,move,763,6.482513333903626,1.7578125,11.19140625
50,2,move,764,6.495372709003277,1.7578125,11.19140625
51,2,move,765,6.4987846669973806,1.7578125,11.19140625
52,2,move,766,6.512036458938383,1.7578125,11.19140625
53,2,move,767,6.515324583975598,1.7578125,11.19140625
54,2,move,768,6.528302291990258,1.7578125,11.19140625
55,2,move,769,6.531512374989688,1.7578125,11.19140625
56,2,move,770,6.544987333938479,1.7578125,11.19140625
57,2,move,771,6.548120999941602,1.7578125,11.19140625
58,2,move,772,6.562045166967437,1.7578125,11.19140625
59,2,move,773,6.565334374899976,1.7578125,11.19140625
60,2,move,774,6.578642125008628,1.7578125,11.19140625
61,2,move,775,6.58186699997168,1.7578125,11.19140625
62,2,move,776,6.594966708915308,1.7578125,11.19140625
63,2,move,777,6.598120791953988,1.7578125,11.19140625
64,2,move,778,6.612052374985069,1.7578125,11.19140625
0,3,move,855,7.250648458953947,1.7578125,11.19140625
1,3,move,856,7.268228541943245,1.7578125,11.19140625
2,3,move,857,7.271456291899085,1.7578125,11.19140625
3,3,move,858,7.278269124915823,1.7578125,11.19140625
4,3,move,859,7.281295624910854,1.7578125,11.19140625
5,3,move,860,7.295067083905451,1.7578125,11.19140625
6,3,move,861,7.298195624956861,1.7578125,11.19140625
7,3,move,862,7.311694749980234,1.7578125,11.19140625
8,3,move,863,7.314972333959304,1.7578125,11.19140625
9,3,move,864,7.328375874902122,1.7578125,11.19140625
10,3,move,865,7.331693791900761,1.7578125,11.19140625
11,3,move,866,7.345004333998077,1.7578125,11.19140625
12,3,move,867,7.348309166962281,1.7578125,11.19140625
13,3,move,868,7.361521749990061,1.7578125,11.19140625
14,3,move,869,7.364656833931804,1.7578125,11.19140625
15,3,move,870,7.378680666908622,1.7578125,11.19140625
16,3,move,871,7.381981416954659,1.7578125,11.19140625
17,3,move,872,7.395507292007096,1.7578125,11.19140625
18,3,move,873,7.39886779198423,1.7578125,11.19140625
19,3,move,874,7.412012166925706,1.7578125,11.19140625
20,3,move,875,7.415361708961427,1.7578125,11.19140625
21,3,move,876,7.428726874990389,1.7578125,11.19140625
22,3,move,877,7.431990249897353,1.7578125,11.19140625
23,3,move,878,7.4452661669347435,1.7578125,11.19140625
24,3,move,879,7.448633833904751,1.7578125,11.19140625
25,3,move,880,7.461880791932344,1.7578125,11.19140625
26,3,move,881,7.465301999938674,1.7578125,11.19140625
27,3,move,882,7.479042499908246,1.7578125,11.19140625
28,3,move,883,7.482965041999705,1.7578125,11.19140625
29,3,move,884,7.495426833978854,1.7578125,11.19140625
30,3,move,885,7.49933137500193,1.7578125,11.19140625
31,3,move,886,7.512077374965884,1.7578125,11.19140625
32,3,move,887,7.5159408749314025,1.7578125,11.19140625
33,3,move,888,7.528871374903247,1.7578125,11.19140625
34,3,move,889,7.532749417005107,1.7578125,11.19140625
35,3,move,890,7.545568416942842,1.7578125,11.19140625
36,3,move,891,7.549411083920859,1.7578125,11.19140625
37,3,move,892,7.562140791909769,1.7578125,11.19140625
38,3,move,893,7.565931333927438,1.7578125,11.19140625
39,3,move,894,7.578913374920376,1.7578125,11.19140625
40,3,move,895,7.582353374920785,1.7578125,11.19140625
41,3,move,896,7.5954175419174135,1.7578125,11.19140625
42,3,move,897,7.598811999894679,1.7578125,11.19140625
43,3,move,898,7.612076999968849,1.7578125,11.19140625
