,condition,trial,sub_task,x,y,xt,yt,cat,resp,rt,acc,correct_resp
87,2F4K,88,2,47.48941451246917,63.8243481655261,1.3422770095528518,63.77103949806839,2,b,2.2959536000000753,correct,b
88,2F4K,89,2,50.03185784341208,42.07723173836138,1.4151507400757837,45.38319216624874,1,b,1.061012299999902,incorrect,v
89,2F4K,90,2,50.40143604373548,35.975123427191505,1.4260683015378484,39.98632371165592,1,v,0.6422001000000819,correct,v
90,2F4K,91,1,47.929166338824096,67.52615798259556,1.354607595360653,66.46805394546081,1,n,1.2491116999999576,incorrect,c
91,2F4K,92,1,37.74660005054559,45.0147022047237,1.0961141137192256,47.996811644302966,1,c,2.4704341000001477,correct,c
92,2F4K,93,1,32.58120586745003,43.57770059607858,0.9844816194886484,46.71872205000675,1,c,1.1717227999999977,correct,c
93,2F4K,94,2,43.92723836269332,58.4656595638912,1.2464432083669117,59.56748370611569,2,b,2.4151425000000017,correct,b
94,2F4K,95,2,63.0679181777101,48.13187219756645,1.8557952483472195,50.75687197071454,1,v,0.8306287000000339,correct,v
95,2F4K,96,1,56.5718499065941,74.6653728897764,1.6213049785670364,71.08996036996187,1,n,2.8831912000000557,incorrect,c
96,2F4K,97,2,40.19279888046036,57.01653378441886,1.1533128915146176,58.37929806433981,2,b,0.8781392000000778,correct,b
97,2F4K,98,1,56.95900966890152,38.229634592302105,1.6344104008698528,41.968875610660376,2,n,1.3825996000000487,correct,n
98,2F4K,99,1,51.432360466278354,60.82636705905894,1.456969638810224,61.45873479248471,1,n,0.6728570000000218,incorrect,c
99,2F4K,100,1,39.6937633216784,19.729599211760096,1.1414066706882622,26.78705937926108,2,n,2.907408100000339,correct,n
100,2F4K,101,2,51.40687475252078,33.30579733864786,1.4561977069889342,37.66846191681724,1,v,3.1258069000000432,correct,v
101,2F4K,102,2,55.34295919347636,41.863402033071736,1.580398931253318,45.19290908055533,1,v,0.6604268000000957,correct,v
102,2F4K,103,2,52.60805753808776,60.830225697668986,1.4930285219484722,61.461777782066285,2,b,1.7164941999999428,correct,b
103,2F4K,104,2,62.74375820643415,44.89299127690081,1.8433279241342837,47.88864455212181,1,v,1.309779400000025,correct,v
104,2F4K,105,2,42.7460434050045,35.17397681835165,1.2162006807369323,39.28682732190428,1,b,0.623088700000153,incorrect,v
105,2F4K,106,1,37.4958889398152,50.59858886113288,1.0904145123136113,52.918675186248095,1,c,1.302837499999896,correct,c
106,2F4K,107,2,53.35950890236155,40.66774015019652,1.516541804181052,44.12962785373159,1,v,1.7953084999999191,correct,v
107,2F4K,108,1,68.48869132855135,53.86771946570696,2.077229673617998,55.73585614163066,2,n,4.9631319999998595,correct,n
108,2F4K,109,1,56.10614442449388,37.48569282746432,1.6056799215926645,41.31264954499811,2,c,0.8667700000000877,incorrect,n
109,2F4K,110,1,43.783172767673065,49.78068068563985,1.242714751441946,52.204734986737016,1,c,1.9533274999998866,correct,c
110,2F4K,111,2,49.6360568368982,60.10837627281048,1.4035512120367373,60.88969087705343,2,b,3.6538595000001806,correct,b
111,2F4K,112,2,61.67070049886159,50.982622462694266,1.8026521274719376,53.25277362354304,1,v,1.0731583000001592,correct,v
112,2F4K,113,1,52.562342349846745,67.91111121736108,1.491609892652474,66.73754722963395,1,c,2.378512700000101,correct,c
113,2F4K,114,1,66.80755893255828,46.52986323333678,2.005868136566467,49.341277358918354,2,n,1.573586499999692,correct,n
114,2F4K,115,2,71.18822605046692,58.83156630017972,2.1971704307913,59.86435277952408,1,v,1.7892362999996294,correct,v
115,2F4K,116,1,56.128613782607054,41.050093361301855,1.6064303302256933,44.46948152593401,2,c,1.1580926000001455,incorrect,n
116,2F4K,117,1,53.64613011914803,64.11969987302518,1.52560756598354,63.99292406294119,1,n,5.0,incorrect,c
