trial,theta,previous_uncertainty
287,3.104348882458069,washout_unlimited_uncertainty
288,3.597632901882234,washout_unlimited_uncertainty
289,4.1966649225845964,washout_unlimited_uncertainty
290,4.591839804947602,washout_unlimited_uncertainty
291,4.628714620946853,washout_unlimited_uncertainty
292,3.5548198100507102,washout_unlimited_uncertainty
293,4.294827990167228,washout_unlimited_uncertainty
294,4.007575590354554,washout_unlimited_uncertainty
295,3.863049378946234,washout_unlimited_uncertainty
296,4.856814313830518,washout_unlimited_uncertainty
297,4.190639330745619,washout_unlimited_uncertainty
298,4.732116817357941,washout_unlimited_uncertainty
299,3.4817649018192354,washout_unlimited_uncertainty
