,cursor_vis,midpoint_vis,endpoint_vis,cursor_sig,cursor_mp_sig,cursor_ep_sig,clamp,rot,trial,cycle,target_angle,no_uncertainty,low_uncertainty,high_uncertainty,unlimited_uncertainty,endpoint_theta,movement_time,movement_initiation_time
0,1,1,0,0,0,0,0,0.0,1,0,90,0,0,0,0,85.3734292906285,0.41629679100151407,0.5560464579975815
0,1,1,0,0,0,0,0,0.0,2,1,90,0,0,0,0,85.75154547063872,0.27491975000157254,0.557338291000633
0,0,1,0,0,1,0,0,10.21941532,3,2,90,0,0,0,1,90.6510603802295,0.40771454100467963,0.6241442910031765
0,0,1,0,0,1,0,0,8.540001641,4,3,90,0,0,1,0,87.65586752593016,0.31313300000329036,0.5763862919993699
0,0,1,0,0,1,0,0,11.89103813,5,4,90,1,0,0,0,92.29061004263853,0.1895790830021724,0.5589357909993851
0,0,1,0,0,1,0,0,4.956545874,6,5,90,0,1,0,0,86.82016988013577,0.2993835000015679,0.45669087499845773
0,0,0,0,0,0,0,0,0.0,7,6,90,0,0,0,0,84.38779677067514,0.1824386250009411,0.5766329580001184
0,1,1,0,0,0,0,0,0.0,1,0,90,0,0,0,0,89.02897806892084,0.12445929100067588,0.6809916659985902
0,1,1,0,0,0,0,0,0.0,2,1,90,0,0,0,0,90.66234944737221,0.7502616670026327,0.5657172089995584
0,0,1,0,0,1,0,0,10.21941532,3,2,90,0,0,0,1,88.32516200947079,0.5571832499990705,0.7569402500012075
0,0,1,0,0,1,0,0,8.540001641,4,3,90,0,0,1,0,89.04515874612783,0.11200779199862154,0.5861827919943607
0,0,1,0,0,1,0,0,11.89103813,5,4,90,1,0,0,0,88.08018987004449,0.23086666600283934,0.8031919589993777
0,0,1,0,0,1,0,0,4.956545874,6,5,90,0,1,0,0,86.34777721969367,0.11143100000481354,0.5626599579991307
0,1,1,0,0,0,0,0,0.0,1,0,90,0,0,0,0,87.99044618697886,0.5826510410042829,0.7952602500008652
0,1,1,0,0,0,0,0,0.0,2,1,90,0,0,0,0,85.15599962491933,0.3000859589956235,0.47758070799318375
0,0,1,0,0,1,0,0,10.21941532,3,2,90,0,0,0,1,90.0,0.48253466700407444,0.43631004199414747
0,0,1,0,0,1,0,0,8.540001641,4,3,90,0,0,1,0,87.68293761412868,0.3345282500013127,0.5478111249976791
0,0,1,0,0,1,0,0,11.89103813,5,4,90,1,0,0,0,88.02506598911802,0.6743583339994075,0.49892020800325554
0,0,1,0,0,1,0,0,4.956545874,6,5,90,0,1,0,0,90.32740089084439,0.5225373329958529,0.37465674999839393
0,0,0,0,0,0,0,0,0.0,7,6,90,0,0,0,0,89.66494078139087,0.49975245899986476,0.63650262500596
0,1,1,0,0,0,0,0,0.0,1,0,90,0,0,0,0,88.67547808770881,0.650664875000075,0.5657042919992818
0,1,1,0,0,0,0,0,0.0,2,1,90,0,0,0,0,89.00075632974271,0.5078837080000085,0.46995679099927656
0,0,1,0,0,1,0,0,10.21941532,3,2,90,0,0,0,1,88.3445134608807,0.5734405419934774,0.6162401670007966
0,0,1,0,0,1,0,0,8.540001641,4,3,90,0,0,1,0,86.34071848133921,0.3487645419954788,0.48632016599731287
0,0,1,0,0,1,0,0,11.89103813,5,4,90,1,0,0,0,91.00508600525419,0.5830667920017731,0.27513162499963073
0,0,1,0,0,1,0,0,4.956545874,6,5,90,0,1,0,0,85.98582430458897,0.6561510839965194,0.6033826670027338
0,0,0,0,0,0,0,0,0.0,7,6,90,0,0,0,0,89.67071753615333,0.5661495419990388,0.43664133400307037
0,1,1,0,0,0,0,0,0.0,1,0,90,0,0,0,0,89.32990447777549,0.18981474999600323,0.5265020829974674
0,1,1,0,0,0,0,0,0.0,1,0,90,0,0,0,0,90.59680945122918,0.21605854100198485,0.49897341700125253
0,1,1,0,0,0,0,0,0.0,2,1,90,0,0,0,0,85.33945451741967,0.18304991699551465,0.5270237920049112
0,0,1,0,0,1,0,0,10.21941532,3,2,90,0,0,0,1,86.98721249581665,0.21626833300251747,0.5401769590025651
0,0,1,0,0,1,0,0,8.540001641,4,3,90,0,0,1,0,90.32740089084439,0.27256408300308976,0.5323515830023098
