,cursor_vis,midpoint_vis,endpoint_vis,cursor_sig,cursor_mp_sig,cursor_ep_sig,clamp,rot,trial,cycle,target_angle,no_uncertainty,low_uncertainty,high_uncertainty,unlimited_uncertainty,endpoint_theta,movement_time,movement_initiation_time
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,19,90,0.0,0.0,0.0,0.0,86.95130935938738,0.1008999999999105,0.48127679999993234
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.104158346509529,21,20,90,0.0,0.0,1.0,0.0,89.47753311601718,0.13379540000005363,0.3172135999998318
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.906673876761094,22,21,90,0.0,0.0,1.0,0.0,91.43988836323486,0.44883009999989554,0.335129299999835
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,16.41933071489355,23,22,90,0.0,0.0,1.0,0.0,88.30806674319415,0.28375740000001315,0.3331700000001092
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,21.220513613689853,24,23,90,0.0,0.0,0.0,1.0,88.64655856186432,0.19978729999979805,0.3502633999999034
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.331653810933915,25,24,90,1.0,0.0,0.0,0.0,86.70646901211019,0.11688749999984793,0.5161932999999408
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.897554711339415,26,25,90,0.0,1.0,0.0,0.0,86.09631827142249,0.13293089999979202,0.3341946000000462
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.178185922202406,27,26,90,0.0,1.0,0.0,0.0,91.37764786270866,0.14882669999997233,0.41707990000008976
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.762346304935686,28,27,90,1.0,0.0,0.0,0.0,89.9732863396464,0.14977990000011232,0.3173431000000164
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0983107117480975,29,28,90,0.0,0.0,1.0,0.0,91.04081719265548,0.14984559999993508,0.36517989999993006
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.62261031520079,30,29,90,0.0,0.0,1.0,0.0,94.2346848053876,0.5156805000001441,0.45023630000014236
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.194619793474184,31,30,90,0.0,0.0,1.0,0.0,87.8781728681696,0.14967499999988831,0.5322994999999082
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.150214451341697,32,31,90,0.0,0.0,1.0,0.0,88.06721872553983,0.20075730000007752,0.36523669999996855
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.445835568856555,33,32,90,1.0,0.0,0.0,0.0,86.99206514899564,0.15070939999986877,0.2833336999999574
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.66712560771612,34,33,90,0.0,0.0,1.0,0.0,87.06350358491056,0.1497636000001421,0.33323749999999563
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,17.141666666601314,35,34,90,1.0,0.0,0.0,0.0,88.13404551727373,0.13481950000004872,0.40023980000000847
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.799867282573716,36,35,90,0.0,0.0,1.0,0.0,85.54229426400117,0.14780919999998332,0.30021639999995386
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.59424398016849,37,36,90,1.0,0.0,0.0,0.0,87.05119540548239,0.11567949999994198,0.616323599999987
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.858651285067593,38,37,90,0.0,0.0,1.0,0.0,89.3212273069775,0.16670760000010887,0.2843196999999691
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.990811999340176,39,38,90,1.0,0.0,0.0,0.0,90.08029492676759,0.1848307999998724,0.3832325999999284
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.75091580303924,40,39,90,0.0,0.0,1.0,0.0,86.1888261816431,0.11778759999992872,0.533136900000045
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.647772147483641,41,40,90,0.0,0.0,0.0,1.0,85.38341617491157,0.11684330000002774,0.3332287999999153
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.714629310567672,42,41,90,1.0,0.0,0.0,0.0,87.52875745515846,0.13281260000007933,0.31723220000003494
