cursor_vis,midpoint_vis,endpoint_vis,cursor_sig,cursor_mp_sig,cursor_ep_sig,clamp,rot,phase,trial,cycle,target_angle,instruct_phase,instruct_state
0.0,0.0,1.0,0.0,0.0,0.0,1.0,29.74645377542236,clamp,199,16,75,,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,29.378380160152513,clamp,200,16,135,,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,29.43846375910727,clamp,201,16,120,,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,29.854859654419844,clamp,202,16,30,,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,29.10095382226365,clamp,203,16,90,,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.585468016042324,clamp,204,16,150,,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,28.52623084062954,clamp,205,17,45,,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,29.404819298327865,clamp,206,17,105,,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,28.45011601983758,clamp,207,17,90,,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,31.37970212054199,clamp,208,17,150,,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.00949810679784,clamp,209,17,30,,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.55077105846277,clamp,210,17,0,,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.677839705474714,clamp,211,17,60,,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.158150817333393,clamp,212,17,165,,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.578808178472855,clamp,213,17,120,,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,31.950958064452465,clamp,214,17,15,,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,31.38131328896708,clamp,215,17,75,,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.00534895673591,clamp,216,17,135,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,generalisation,217,18,0,"You will now be asked to reach to targets that you have not yet reached to.
You will not receive feedback of any kind for these reaches.Please continue to slice through the target as quickly and accurately as possible.",1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,generalisation,218,18,135,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,generalisation,219,18,105,,1.0
